тема;текст;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте! Можно забронировать на завтра дрель?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте. Можно завтра взять циркулярную пилу в аренду?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Хотели бы взять в аренду перфоратор, где то на пол дня, сегодня или завтра.;;;;;;;;;;;;;;;;;;;;;;;
пистолет для герметика;Здравствуйте! Есть ли в парке электрический пистолет для герметика под пакеты?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте. Интересует аренда сварочника полуавтомата, с баллоном. Стоимость?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте интересует аренда полуавтомата;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шнек для бензобура;Здравствуйте, если у вас буры для бензобура Если есть, то какие диаметры;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, подскажите, можно ли сегодня подъехать арендовать шуруповерт-дрель? В районе 17:00;;;;;;;;;;;;;;;;;;;;;;;
жираф;Добрый день. Интересует  инструмент для шлифования стен.;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день. Нам нужно отшлифовать террасу от старой краски, площадь большая, нужна Большая шлифовальная машина, есть в наличие ?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте , нужна торцовка с протяжкой под 305 диск;;;;;;;;;;;;;;;;;;;;;;;
отбойный молоток;Здравствуйте, у вас есть в наличии бетоноломы в аренду ?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Добрый день! Сколько будет стоить аренда сварочного полуавтомата на 2 дня?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Доброе утро, хочу арендовать пылесос Керхер;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, у вас есть полуавтомат? И вы завтра работаете?;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка;Добрый день. Есть в наличии газонокосилка в аренду?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, подскажите пожалуйста сколько будет по цене шуруповерт, на 1 день?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Интересует аренда большого перфоратора;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте у вас есть торцовочная пила 2 в 1 сколько будет стоить оренда на один день?;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила;Здравствуйте! Подскажите, пожалуйста, стоимость аренды пилы сабельной.;;;;;;;;;;;;;;;;;;;;;;;
рохля;Здравствуйте . Есть ли у вас рохля (Перевозка поддонов) в прокат на 1 день ? Загрузить завтра утром;;;;;;;;;;;;;;;;;;;;;;;
станок распиловочный;добрый день, станок для распила доски есть?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый вечер! У вас в аренду телескопическая стремянка?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте! Есть краскопульт в аренду?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;здравствуйте , какие модели краскопультов у вас есть в наличии и за какую цену?;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка;Здравствуйте! Есть ли в аренду газонокосилка на аккумуляторе/бензине?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Здравствуйте! Сколько будет стоить аренда трамбовщика на понедельник 12 мая?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, подскажите сколько будет стоить перфоратор в аренду на сутки?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;здраствуйте.у вас есть торцовочные пилы в аренду?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;не обходим газовый пистолет для монтажа теплоизоляции 100мм под дюпель гвоздь в бетон;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, скажите пожалуйста, сколько будет стоить аренда дрели на сутки?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день, сегодня у вас свободен строительный пылесос ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, подскажите пожалуйста чем лучше вспахать? землю с корнями - верхний слой 15 см не прокопать только топором. Готов арендоватт;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер  Есть перфоратор сверлом 35 ssd max ?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;добрый день. есть у вас рейсмус небольшой;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;"Добрый день! Звонил Вам по торцовке с протяжкой. Отправляю Вам реквизиты для счета   ИНН: 7801486233 КПП: 781301001 ОГРН: 1087847019303 ОКПО: 89061796 Основной счет: Расчетный счет: 40702810502260009028 Банк: ФИЛИАЛ ""ЦЕНТРАЛЬНЫЙ"" БАНКА ВТБ (ПАО) БИК: 044525411 Корр. счет: 30101810145250000411 Второй счет: Расчетный счет: 40702810410000797899 Банк: АО ""ТИНЬКОФФ БАНК"" БИК: 044525974 Корр.счет: 30101810145250000974 Юридический адрес: 197046, г. Санкт-Петербург, Каменноостровский пр., д. 9/2, литера А часть нежилого помещения 7Н (пом.1) Фактический Адрес: 197229, г. Санкт-Петербург, Лахтинский пр-кт, дом 85, литера В, помещение Т-7/1, офис 263 Директор: Михайлов Вячеслав Анатольевич";;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;День добрый  есть торцовочная пила?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте, нужна стремянка. У нас высота 5 метров, упереть не к чему, нужна желательно трехступенчатая, у вас будет такая?;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила;День добрый, сабельная пила в какую цену за сутки?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Привет добрий вечер.;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Сколько стоит аренда краскопульта? Какие есть в наличии?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;У вас  есть шаблон для фрезера?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Доброе утро. Нужна виброплита в аренду сегобня после 12.00. Есть ли возможность взять у вас? И какая стоимость в сутки?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день, сколько стоит аренда генератора на сутки?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте, интересует аренда циклевочной машины. Хотела бы узнать условия и есть ли в наличии на завтра.;;;;;;;;;;;;;;;;;;;;;;;
бензорез;Здравствуйте, нужен бензорез под 400 диск Хускварна. Есть такой?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по дереву;Добрый день , нужен шпилькозабивной пистолет.;;;;;;;;;;;;;;;;;;;;;;;
пила погружная;Добрый день! Подскажите пожалуйста , у вас есть погружная циркулярная пила?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте  У Вас можно арендовать телескопическую лестницу?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте! Сколько у вас стоит арендовать фрезер ручной?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Доброе утро! Интересует аренда виброплиты. Есть ли у Вас доставка по ЛО-Курортный район?;;;;;;;;;;;;;;;;;;;;;;;
триммер;Добрый вечер. Подскажите, пожалуйста, у вас есть в аренду триммер для травы и сколько стоит аренда на день?;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте сколько стоит аренда сварочного аппарата;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка;Здравствуйте,  подскажите какие газонокосилки у вас есть и цена аренды.;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Добрый вечер, сварочный полуавтомат какой у вас ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Хочу взять в аренду на 2 дня перфоратор и ушм, какие условия?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Здравствуйте! У вас есть в аренду монтажный пистолет?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте. Можно ли взять у Вас. Аренду инструмент. Нужен лобзик, перфоратор, болгарка (УШМ). Какие условия. Интересует стоимость краткосрочной и долгосрочной аренды. Можно на ИП или частник.;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, нужна аренда строительного пылесоса на завтра;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте мне нужен лобзик  В аренду можно оформить ?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день  Скажите пожалуйста у вас есть в Аренду машина циклевочная для паркета? Чтобы после укладки можно было ее шлифовать;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;здравствуйте, сколько будет стоить аренда перфоратора?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;здравствуйте, скажите пожалуйста, есть ли у вас в наличии свободные пылесосы?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Добрый вечер! Хотела уточнить, если я возьму у вас в аренду шлифмашинку - в комплекте идет насадка мягкая для полировки? Или аренда только самой машинки у вас?;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте, подскажите, пожалуйста, можно ли взять на прокат строительный миксер (для подготовки раствора шпатлевки)?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте.  Краскопульт, стоимость аренды 1-2 суток? Условия?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Добрый день. У вас есть рейсмус в аренду? Какой производитель , модель?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Можно ли на завтра арендовать перфоратор? И подскажите, на какое количество часов можно арендовать?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день, интересна аренда генератора, на 12 ч (если возможно) где то на 2 Кв. Хочется знать его шум (в ДцБ) и вес. А также идёт ли заправленным или нет?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день, я пишу диплом на похожую тему(перспективные области шеринговой экономики), которая как раз таки вы занимаетесь. Я столкнулся с проблемой оценки спроса и перспектив данного вида деятельности. Как я понимаю, у вас могли бы быть данные, которые я бы смог проанализировать и использовать данные для диплома. Я был бы очень благодарен за ответ. С уважением, Киселев Алексей Андреевич.  Студент 4 курса СПБГУ.;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый вечер Скажите, есть ли циклевальная машина?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте  Интересует аренда краскопульта на 08.05  Подскажите условия;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый день, если арендовать шуруповерт, то какие биты идут в комплекте ?);;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте сколько стоит аренда генератора на один день?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте сколько пылесос стоит на день?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Здравствуйте. Стоимость аренды рейсмусового станка на 2 дня?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер! Интересует аренда строительного пылесоса. Какая стоимость? На какое время арендуете?;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Здравствуйте. Бур сдс плюс длинный 1.5-2.5 метра есть ?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте! У вас есть шуруповерт в аренду?;;;;;;;;;;;;;;;;;;;;;;;
отбойный молоток;День добрый,а есть в аренду отбойный молоток?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, хочу дрель со свёрлами по дереву на 1 час у вас взять. Нужно в двери сделать дверь для кота;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, хочу лобзик на 1 час у вас взять. Нужно в двери сделать дверь для кота;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте. Интересует аренда дисковой циклевочной машины. На следующей неделе вт-ср-чт;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Вечер добрый. В ближайшие дни можно арендовать шуруповерт ?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер , есть аккумуляторный лобзик в наличии ?;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Здравствуйте, сколько стоит на сутки взять бур по бетону?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Добрый день, паяльник для полипропилена есть у вас?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер!;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Здравствуйте, газовая пушка в аренду есть?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Здравствуйте реноватор есть в аренду на сегодня  ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Сколько будет стоить взять перфоратор и строительный пылесос на 2 дня;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
пресс для труб РЕ-Х;Здравствуйте  у вас можно  арендовать пресс для трубы  рендхау;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте нужен генератор или преобразователь для потребителя  1500вт;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте! А циклевочная машина у Вас какая?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, сколько будет стоить аренда полуавтомата с проволкой и смесью;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день, сколько стоит аренда строительного пылесоса?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте, у вас есть аккумуляторная ушм?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый вечер  Могу взять завтра на прокат шуроповерт с насадками на крест?;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте, сколько стоит аренда сварочного аппарата?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, сегодня можно подъехать часов в 12 взять шруповерт на сутки?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по дереву;Здравствуйте, Уточните стоимость аренды гвоздезабивного пистолета и характеристики. Нужно для гвоздей 90;;;;;;;;;;;;;;;;;;;;;;;
бензобур;Добрый день ,бензобур на 2 оператора сколько будет стоить аренда?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте.  Циркулярная пила нужна на завтра;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Здравствуйте, есть у вас аппарат для сварки полиэтиленовых труб диаметром 280 и 560 мм с оператором?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый день.  Есть в аренду фрейер для пней?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте. Можно ли получить инструмент в аренду также без залога, если нет прописки В Спб и ЛО?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Здравствуйте, трамбовка 140 кг. Почем аренда на день ?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте. Есть ли у вас электро лобзик в аренду, и, если есть, подскажите пожалуйста стоимость? Спасибо!;;;;;;;;;;;;;;;;;;;;;;;
степлер;Здравствуйте, Стахановец У вас можно взять в аренду степлер?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Планирую взять комплект перфоратор и бур 45х600. Сможете помочь?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте сварочный аппарат полуавтомат есть;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте, есть ли у вас в аренду стремянки на длительный срок?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, подскажите пожалуйста, у вас есть промышленный перфоратор или может бур подойдет. Нужно в несущей стене проход сделать;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте, есть в аренду аккумуляторная ушм?;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Добрый вечер. Нужна газовая пушка;;;;;;;;;;;;;;;;;;;;;;;
газовый баллон;Добрый вечер. Нужна газовый балон композитный;;;;;;;;;;;;;;;;;;;;;;;
степлер;Здравствуйте, подскажите цену за сутки на электро степлер?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте подскажите какие условия аренды торцовочной пилы?  Нужно запилить под 45 дверные коробки  Толщина пропила 70см;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Здравствуйте нужен реноватор на сутки;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте,сварочный аппарат в аренду у вас завтра есть?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
степлер;Здравствуйте. Сколько будет стоить степлер в аренду? Электрический.;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, сколько будет стоить строительный пылесос в аренду?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Добрый день! Подскажите, сколько стоит аренда эксцентриковой шлифмашины на сутки?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Добрый день. У Вас есть паркетка в аренду и какая стоимость?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день!  У вас есть в аренду строительный пылесос?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;День добрый! Подскажите рейсмус есть в свободный на Парнасе и какой,цена ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Доброе утро 🌄  подскажите  пожалуйста  сколько перфоратор в  аренду стоит на сутки ?;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здравствуйте, есть в наличии шлифовальная машинка для шлифовки авто?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, есть в аренду шуруповерт?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, в какую стоимость у вас будет арендовать шуруповерт?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Добрый день какая цена аренды краскопульта? И какой он сам по себе? Шланг сразу в банку с краской можно положить? Благодарю;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Добрый вечер! Сколько у вас стоит взять в аренду реноватор?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Добрый день. Сколько стоит аренда ручного фрезера?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте хочу приобрести на завтра инструмент с 9 до 16:00;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день. Есть циклёвочная машинка с мешком для паркета?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствцйте;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день. Сколько будет стоит аренда болгарки на 3 часа? (для плитки напольной);;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;здравствуйте, сейчас работаете? хотел бы арендовать шуруповерт;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый вечер есть кондуктор для установке межкомнатных дверей;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! По чем аренда перфоратора;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила;Здравствуйте,  нужна сабельная пила;;;;;;;;;;;;;;;;;;;;;;;
отбойный молоток;Здравствуйте,  нужна отбойный молоток;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте.  Нужно арендовать цыклевочную машину, для пола из сосновой доски, а также расходные материалы ( наждачной ленты) сколько будет стоить и когда можно будет взять в аренду? С уважением Анатолий;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте. Есть в аренду сварочный аппарат?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здраствуйте аренда перфоратора какая цена?;;;;;;;;;;;;;;;;;;;;;;;
пушка дизельная;Добрый день! Нам необходимы 6 дизельных пушек для производства отделочных работ в монолитном доме;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте есть электро лобзик  в;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте  Нужны в аренду бензогенератор и тепловая пушка 2-3 кВт;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте! Подскажите., а строительные пылесосы есть в наличии?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Добрый день! У вас есть в прокат  Газовый монтажный пистолет для теплоизоляции и какая будет цена в сутки;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый день! Нужен в прокат шуруповерт для сборки стола, подскажите стоимость и до скольки можно подойти забрать?;;;;;;;;;;;;;;;;;;;;;;;
вышка тура;Добрый день. Сколько будет стоить аренда вышки тура на месяц в парголово. Высота 7м, 1,6*,8 . С доставкой и забором.;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
станок распиловочный;Здравствуйте! Сколько стоит  распиловочный станок?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте, есть ли у вас аккумуляторная ушм? Какая цена? Есть ли 3 штуки? Сколько залог? Какая ушм?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая аккумуляторная;Добрый день. Имеется у Вас в аренде пилы циркулярная аккумуляторная?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте! есть фрезер торцевой по дереву?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте! Интересует цена на аренду фрезера.;;;;;;;;;;;;;;;;;;;;;;;
миксер;Добрый день, нужен строительный миксер. на 1  день. цена вопроса и модели какие?;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Добрый день, имеется шлифмашинка ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте. Интересует аренда лестницы. Рабочая высота 8-9 метров с рогами;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Какая стоимость аренды перфоратор и на какое время?;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Здравствуйте. У вас есть лазерный уровень в аренду?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Добрый день. Есть  ли газовый пистолет и сколько стоит в сутки арендовать? Входит ли в комплект гвозди по бетону и газ?;;;;;;;;;;;;;;;;;;;;;;;
бензорез;Добрый день. Аренда с большим диском по бетону на сутки по какой цене будет?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день!;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день Интересует аренда строительного пылесоса  Есть вариант с насадкой-щеткой  какой-то, чтоб обои можно было тоже пропылесосить? И какая цена за сутки?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Доброй ночи. Интересует перф. Обычный. Сверлить стены под гипрок и электрику. Цена в сутки? Спасибо!;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте! Сколько стоит в аренду фрезер?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Добрый вечер,аккумуляторная болгарка есть у вас?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день. Подскажите, есть ли у вас два генератора в аренду на 4-5квт?;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здравствуйте, сколько будет стоить взять на сутки орбитально шлифмашинку;;;;;;;;;;;;;;;;;;;;;;;
фен;Здравствуйте, сколько будет стоить взять на сутки строительный фен;;;;;;;;;;;;;;;;;;;;;;;
лестница-трансформер;Здравствуйте. Интересует лестница трансформер. Получение завтра в 09.00. Возврат в 18.00. Есть возможность?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте, б/у инструмент выкупаете ?;;;;;;;;;;;;;;;;;;;;;;;
фен;Здраствуйте, есть ли у Вас строительный фен в аренду?;;;;;;;;;;;;;;;;;;;;;;;
установка алмазного бурения;Здравствуйте, у вас сверлильная установка есть , нужно в кирпиче отверстия сделать , длиной 600 мм и в диаметре 30 мм. Какие условия по аренде ? И если паспорта нет , а есть водительское удостоверение.;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, аренда перфоратора интересует сколько стоит?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, подскажите, пожалуйста, есть ли в аренду тррцовочная пила?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте, есть такая?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Брал, Паяльник электрический для сваривания пластиковых труб. Паяльник новый, греет отлично сделали все быстро. Спасибо Стахановцу!;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, сколько стоит аренда перфоратора на 2-3 часа?;;;;;;;;;;;;;;;;;;;;;;;
мотопомпа;Добрый день. Аренда мотопомпы в какую цену?;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила;Добрый день Есть сабельная пила в аренду?;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Шлиф машинка для шпаклёвки ручная имеется ?;;;;;;;;;;;;;;;;;;;;;;;
компрессор;Компрессор для пескоструя;;;;;;;;;;;;;;;;;;;;;;;
культиватор;Доброй ночи можно взять в аренду мото культиватор ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Здравствуйте, нужен штроборез на 2 дня;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день!;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Доброе! Мне нужен пилесос в аренду.  Скажите пожалуйста какой пилесос и стоимость?;;;;;;;;;;;;;;;;;;;;;;;
пресс для труб РЕ-Х;Добрый день! Есть у вас пресс для труб rehau stout на период с 19 по 23?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;здравствуйте. мне нужно взять в аренду паяльник и нож для полипропиленовых труб, сколько будет стоить на 1-2 дня? и когда есть возможность получить?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;здравствуйте. мне нужно взять в аренду пылесос. сколько будет стоить на 1-2 дня? и когда есть возможность получить?;;;;;;;;;;;;;;;;;;;;;;;
штроборез;здравствуйте. мне нужно взять в аренду штроборез, сколько будет стоить на 1-2 дня? и когда есть возможность получить?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, подскажите пожалуйста, в какую стоимость выйдет аренда строительного пылесоса ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день, хотел бы арендовать стремянку;;;;;;;;;;;;;;;;;;;;;;;
